Strike,Expiration,OpenInterest,Type
543,2025-03-18,272,CALL
544,2025-03-18,57,CALL
545,2025-03-18,128,CALL
546,2025-03-18,62,CALL
547,2025-03-18,134,CALL
548,2025-03-18,77,CALL
549,2025-03-18,283,CALL
550,2025-03-18,329,CALL
551,2025-03-18,368,CALL
552,2025-03-18,378,CALL
553,2025-03-18,735,CALL
554,2025-03-18,718,CALL
555,2025-03-18,758,CALL
556,2025-03-18,571,CALL
557,2025-03-18,884,CALL
558,2025-03-18,820,CALL
559,2025-03-18,1176,CALL
560,2025-03-18,2512,CALL
561,2025-03-18,1097,CALL
562,2025-03-18,2330,CALL
563,2025-03-18,3349,CALL
564,2025-03-18,3515,CALL
565,2025-03-18,10418,CALL
566,2025-03-18,7001,CALL
567,2025-03-18,8713,CALL
568,2025-03-18,3717,CALL
569,2025-03-18,5627,CALL
570,2025-03-18,16243,CALL
571,2025-03-18,6205,CALL
572,2025-03-18,7852,CALL
573,2025-03-18,5933,CALL
574,2025-03-18,13894,CALL
575,2025-03-18,21883,CALL
576,2025-03-18,10504,CALL
577,2025-03-18,15391,CALL
578,2025-03-18,13776,CALL
579,2025-03-18,8904,CALL
580,2025-03-18,6904,CALL
581,2025-03-18,2799,CALL
582,2025-03-18,4000,CALL
583,2025-03-18,1847,CALL
584,2025-03-18,4072,CALL
585,2025-03-18,5013,CALL
586,2025-03-18,2463,CALL
587,2025-03-18,2073,CALL
588,2025-03-18,1351,CALL
589,2025-03-18,1429,CALL
590,2025-03-18,2079,CALL
591,2025-03-18,841,CALL
592,2025-03-18,1222,CALL
543,2025-03-19,57,CALL
544,2025-03-19,37,CALL
545,2025-03-19,66,CALL
546,2025-03-19,88,CALL
547,2025-03-19,59,CALL
548,2025-03-19,50,CALL
549,2025-03-19,121,CALL
550,2025-03-19,277,CALL
551,2025-03-19,180,CALL
552,2025-03-19,404,CALL
553,2025-03-19,332,CALL
554,2025-03-19,257,CALL
555,2025-03-19,572,CALL
556,2025-03-19,643,CALL
557,2025-03-19,520,CALL
558,2025-03-19,542,CALL
559,2025-03-19,701,CALL
560,2025-03-19,1433,CALL
561,2025-03-19,1071,CALL
562,2025-03-19,1377,CALL
563,2025-03-19,1213,CALL
564,2025-03-19,2199,CALL
565,2025-03-19,2065,CALL
566,2025-03-19,1465,CALL
567,2025-03-19,1769,CALL
568,2025-03-19,2751,CALL
569,2025-03-19,2253,CALL
570,2025-03-19,6067,CALL
571,2025-03-19,1557,CALL
572,2025-03-19,2250,CALL
573,2025-03-19,2254,CALL
574,2025-03-19,2794,CALL
575,2025-03-19,3591,CALL
576,2025-03-19,2798,CALL
577,2025-03-19,2246,CALL
578,2025-03-19,2130,CALL
579,2025-03-19,2992,CALL
580,2025-03-19,6849,CALL
581,2025-03-19,3134,CALL
582,2025-03-19,2228,CALL
583,2025-03-19,2820,CALL
584,2025-03-19,2031,CALL
585,2025-03-19,2873,CALL
586,2025-03-19,2021,CALL
587,2025-03-19,2027,CALL
588,2025-03-19,2316,CALL
589,2025-03-19,1583,CALL
590,2025-03-19,2081,CALL
591,2025-03-19,659,CALL
592,2025-03-19,660,CALL
543,2025-03-20,36,CALL
544,2025-03-20,4,CALL
545,2025-03-20,55,CALL
546,2025-03-20,18,CALL
547,2025-03-20,159,CALL
548,2025-03-20,37,CALL
549,2025-03-20,67,CALL
550,2025-03-20,6852,CALL
551,2025-03-20,280,CALL
552,2025-03-20,190,CALL
553,2025-03-20,394,CALL
554,2025-03-20,390,CALL
555,2025-03-20,809,CALL
556,2025-03-20,338,CALL
557,2025-03-20,314,CALL
558,2025-03-20,601,CALL
559,2025-03-20,681,CALL
560,2025-03-20,2596,CALL
561,2025-03-20,563,CALL
562,2025-03-20,967,CALL
563,2025-03-20,1344,CALL
564,2025-03-20,1641,CALL
565,2025-03-20,7246,CALL
566,2025-03-20,2633,CALL
567,2025-03-20,1592,CALL
568,2025-03-20,1221,CALL
569,2025-03-20,1074,CALL
570,2025-03-20,2513,CALL
571,2025-03-20,1358,CALL
572,2025-03-20,1908,CALL
573,2025-03-20,1232,CALL
574,2025-03-20,1441,CALL
575,2025-03-20,2234,CALL
576,2025-03-20,1228,CALL
577,2025-03-20,944,CALL
578,2025-03-20,2462,CALL
579,2025-03-20,899,CALL
580,2025-03-20,4295,CALL
581,2025-03-20,2078,CALL
582,2025-03-20,1804,CALL
583,2025-03-20,2606,CALL
584,2025-03-20,845,CALL
585,2025-03-20,1267,CALL
586,2025-03-20,1922,CALL
587,2025-03-20,1076,CALL
588,2025-03-20,984,CALL
589,2025-03-20,970,CALL
590,2025-03-20,1816,CALL
591,2025-03-20,418,CALL
592,2025-03-20,1260,CALL
543,2025-03-21,22,CALL
544,2025-03-21,40,CALL
545,2025-03-21,8852,CALL
546,2025-03-21,220,CALL
547,2025-03-21,248,CALL
548,2025-03-21,757,CALL
549,2025-03-21,683,CALL
550,2025-03-21,9984,CALL
551,2025-03-21,905,CALL
552,2025-03-21,1629,CALL
553,2025-03-21,1396,CALL
554,2025-03-21,1694,CALL
555,2025-03-21,7927,CALL
556,2025-03-21,1435,CALL
557,2025-03-21,1900,CALL
558,2025-03-21,2156,CALL
559,2025-03-21,2271,CALL
560,2025-03-21,12093,CALL
561,2025-03-21,2414,CALL
562,2025-03-21,2982,CALL
563,2025-03-21,2107,CALL
564,2025-03-21,2318,CALL
565,2025-03-21,26550,CALL
566,2025-03-21,2531,CALL
567,2025-03-21,5373,CALL
568,2025-03-21,2999,CALL
569,2025-03-21,3081,CALL
570,2025-03-21,38601,CALL
571,2025-03-21,17688,CALL
572,2025-03-21,5289,CALL
573,2025-03-21,4856,CALL
574,2025-03-21,5573,CALL
575,2025-03-21,27904,CALL
576,2025-03-21,6006,CALL
577,2025-03-21,7196,CALL
578,2025-03-21,17730,CALL
579,2025-03-21,6052,CALL
580,2025-03-21,78250,CALL
581,2025-03-21,10669,CALL
582,2025-03-21,12393,CALL
583,2025-03-21,7201,CALL
584,2025-03-21,8923,CALL
585,2025-03-21,37458,CALL
586,2025-03-21,3162,CALL
587,2025-03-21,3455,CALL
588,2025-03-21,6421,CALL
589,2025-03-21,5313,CALL
590,2025-03-21,53059,CALL
591,2025-03-21,2775,CALL
592,2025-03-21,6233,CALL
543,2025-03-24,21,CALL
544,2025-03-24,0,CALL
545,2025-03-24,26,CALL
546,2025-03-24,0,CALL
547,2025-03-24,6,CALL
548,2025-03-24,14,CALL
549,2025-03-24,20,CALL
550,2025-03-24,276,CALL
551,2025-03-24,16,CALL
552,2025-03-24,90,CALL
553,2025-03-24,289,CALL
554,2025-03-24,153,CALL
555,2025-03-24,309,CALL
556,2025-03-24,272,CALL
557,2025-03-24,252,CALL
558,2025-03-24,193,CALL
559,2025-03-24,488,CALL
560,2025-03-24,802,CALL
561,2025-03-24,273,CALL
562,2025-03-24,1185,CALL
563,2025-03-24,631,CALL
564,2025-03-24,1173,CALL
565,2025-03-24,1746,CALL
566,2025-03-24,1130,CALL
567,2025-03-24,441,CALL
568,2025-03-24,1090,CALL
569,2025-03-24,469,CALL
570,2025-03-24,3171,CALL
571,2025-03-24,882,CALL
572,2025-03-24,486,CALL
573,2025-03-24,461,CALL
574,2025-03-24,532,CALL
575,2025-03-24,1985,CALL
576,2025-03-24,800,CALL
577,2025-03-24,444,CALL
578,2025-03-24,581,CALL
579,2025-03-24,905,CALL
580,2025-03-24,2332,CALL
581,2025-03-24,527,CALL
582,2025-03-24,365,CALL
583,2025-03-24,680,CALL
584,2025-03-24,896,CALL
585,2025-03-24,2354,CALL
586,2025-03-24,327,CALL
587,2025-03-24,1886,CALL
588,2025-03-24,916,CALL
589,2025-03-24,435,CALL
590,2025-03-24,785,CALL
591,2025-03-24,513,CALL
592,2025-03-24,193,CALL
543,2025-03-25,12,CALL
544,2025-03-25,0,CALL
545,2025-03-25,49,CALL
546,2025-03-25,2,CALL
547,2025-03-25,0,CALL
548,2025-03-25,5,CALL
549,2025-03-25,10,CALL
550,2025-03-25,34,CALL
551,2025-03-25,43,CALL
552,2025-03-25,11,CALL
553,2025-03-25,164,CALL
554,2025-03-25,63,CALL
555,2025-03-25,392,CALL
556,2025-03-25,174,CALL
557,2025-03-25,352,CALL
558,2025-03-25,266,CALL
559,2025-03-25,160,CALL
560,2025-03-25,220,CALL
561,2025-03-25,127,CALL
562,2025-03-25,262,CALL
563,2025-03-25,475,CALL
564,2025-03-25,122,CALL
565,2025-03-25,522,CALL
566,2025-03-25,544,CALL
567,2025-03-25,331,CALL
568,2025-03-25,211,CALL
569,2025-03-25,116,CALL
570,2025-03-25,965,CALL
571,2025-03-25,194,CALL
572,2025-03-25,149,CALL
573,2025-03-25,187,CALL
574,2025-03-25,168,CALL
575,2025-03-25,531,CALL
576,2025-03-25,282,CALL
577,2025-03-25,168,CALL
578,2025-03-25,308,CALL
579,2025-03-25,157,CALL
580,2025-03-25,2692,CALL
581,2025-03-25,104,CALL
582,2025-03-25,449,CALL
583,2025-03-25,102,CALL
584,2025-03-25,312,CALL
585,2025-03-25,2707,CALL
586,2025-03-25,721,CALL
587,2025-03-25,313,CALL
588,2025-03-25,200,CALL
589,2025-03-25,63,CALL
590,2025-03-25,682,CALL
591,2025-03-25,155,CALL
592,2025-03-25,315,CALL
543,2025-03-26,0,CALL
544,2025-03-26,0,CALL
545,2025-03-26,0,CALL
546,2025-03-26,0,CALL
547,2025-03-26,2,CALL
548,2025-03-26,17,CALL
549,2025-03-26,2,CALL
550,2025-03-26,39,CALL
551,2025-03-26,17,CALL
552,2025-03-26,17,CALL
553,2025-03-26,154,CALL
554,2025-03-26,9,CALL
555,2025-03-26,131,CALL
556,2025-03-26,118,CALL
557,2025-03-26,210,CALL
558,2025-03-26,121,CALL
559,2025-03-26,245,CALL
560,2025-03-26,105,CALL
561,2025-03-26,335,CALL
562,2025-03-26,147,CALL
563,2025-03-26,169,CALL
564,2025-03-26,167,CALL
565,2025-03-26,1443,CALL
566,2025-03-26,261,CALL
567,2025-03-26,103,CALL
568,2025-03-26,231,CALL
569,2025-03-26,148,CALL
570,2025-03-26,833,CALL
571,2025-03-26,193,CALL
572,2025-03-26,298,CALL
573,2025-03-26,333,CALL
574,2025-03-26,437,CALL
575,2025-03-26,763,CALL
576,2025-03-26,343,CALL
577,2025-03-26,380,CALL
578,2025-03-26,415,CALL
579,2025-03-26,204,CALL
580,2025-03-26,913,CALL
581,2025-03-26,261,CALL
582,2025-03-26,207,CALL
583,2025-03-26,322,CALL
584,2025-03-26,936,CALL
585,2025-03-26,222,CALL
586,2025-03-26,49,CALL
587,2025-03-26,227,CALL
588,2025-03-26,270,CALL
589,2025-03-26,655,CALL
590,2025-03-26,3051,CALL
591,2025-03-26,204,CALL
592,2025-03-26,433,CALL
543,2025-03-27,0,CALL
544,2025-03-27,0,CALL
545,2025-03-27,3,CALL
546,2025-03-27,1,CALL
547,2025-03-27,0,CALL
548,2025-03-27,26,CALL
549,2025-03-27,30,CALL
550,2025-03-27,76,CALL
551,2025-03-27,5,CALL
552,2025-03-27,11,CALL
553,2025-03-27,51,CALL
554,2025-03-27,52,CALL
555,2025-03-27,72,CALL
556,2025-03-27,151,CALL
557,2025-03-27,242,CALL
558,2025-03-27,300,CALL
559,2025-03-27,128,CALL
560,2025-03-27,287,CALL
561,2025-03-27,173,CALL
562,2025-03-27,92,CALL
563,2025-03-27,82,CALL
564,2025-03-27,321,CALL
565,2025-03-27,346,CALL
566,2025-03-27,71,CALL
567,2025-03-27,129,CALL
568,2025-03-27,123,CALL
569,2025-03-27,97,CALL
570,2025-03-27,422,CALL
571,2025-03-27,89,CALL
572,2025-03-27,121,CALL
573,2025-03-27,309,CALL
574,2025-03-27,43,CALL
575,2025-03-27,307,CALL
576,2025-03-27,67,CALL
577,2025-03-27,84,CALL
578,2025-03-27,399,CALL
579,2025-03-27,140,CALL
580,2025-03-27,540,CALL
581,2025-03-27,160,CALL
582,2025-03-27,216,CALL
583,2025-03-27,19,CALL
584,2025-03-27,275,CALL
585,2025-03-27,108,CALL
586,2025-03-27,325,CALL
587,2025-03-27,64,CALL
588,2025-03-27,88,CALL
589,2025-03-27,23,CALL
590,2025-03-27,53,CALL
595,2025-03-27,1751,CALL
600,2025-03-27,172,CALL
543,2025-03-28,2,CALL
544,2025-03-28,1,CALL
545,2025-03-28,65,CALL
546,2025-03-28,3,CALL
547,2025-03-28,40,CALL
548,2025-03-28,98,CALL
549,2025-03-28,22,CALL
550,2025-03-28,278,CALL
551,2025-03-28,87,CALL
552,2025-03-28,255,CALL
553,2025-03-28,293,CALL
554,2025-03-28,487,CALL
555,2025-03-28,1161,CALL
556,2025-03-28,352,CALL
557,2025-03-28,858,CALL
558,2025-03-28,988,CALL
559,2025-03-28,859,CALL
560,2025-03-28,3585,CALL
561,2025-03-28,625,CALL
562,2025-03-28,836,CALL
563,2025-03-28,759,CALL
564,2025-03-28,557,CALL
565,2025-03-28,3119,CALL
566,2025-03-28,2237,CALL
567,2025-03-28,636,CALL
568,2025-03-28,1480,CALL
569,2025-03-28,1213,CALL
570,2025-03-28,6304,CALL
571,2025-03-28,814,CALL
572,2025-03-28,2714,CALL
573,2025-03-28,1322,CALL
574,2025-03-28,1090,CALL
575,2025-03-28,6048,CALL
576,2025-03-28,825,CALL
577,2025-03-28,1094,CALL
578,2025-03-28,1162,CALL
579,2025-03-28,1607,CALL
580,2025-03-28,5738,CALL
581,2025-03-28,917,CALL
582,2025-03-28,4362,CALL
582.5,2025-03-28,378,CALL
583,2025-03-28,1924,CALL
584,2025-03-28,2754,CALL
585,2025-03-28,4279,CALL
586,2025-03-28,2243,CALL
587,2025-03-28,1044,CALL
588,2025-03-28,1800,CALL
589,2025-03-28,822,CALL
590,2025-03-28,8879,CALL
591,2025-03-28,1751,CALL
541,2025-03-31,793,CALL
542,2025-03-31,2432,CALL
543,2025-03-31,876,CALL
544,2025-03-31,2437,CALL
545,2025-03-31,574,CALL
546,2025-03-31,443,CALL
547,2025-03-31,381,CALL
550,2025-03-31,1354,CALL
551,2025-03-31,393,CALL
552,2025-03-31,313,CALL
553,2025-03-31,311,CALL
554,2025-03-31,472,CALL
555,2025-03-31,949,CALL
556,2025-03-31,389,CALL
557,2025-03-31,205,CALL
558,2025-03-31,1517,CALL
559,2025-03-31,338,CALL
560,2025-03-31,3045,CALL
561,2025-03-31,1421,CALL
562,2025-03-31,1169,CALL
563,2025-03-31,2516,CALL
564,2025-03-31,523,CALL
565,2025-03-31,5416,CALL
566,2025-03-31,697,CALL
567,2025-03-31,901,CALL
568,2025-03-31,2288,CALL
569,2025-03-31,552,CALL
570,2025-03-31,4968,CALL
571,2025-03-31,511,CALL
572,2025-03-31,1992,CALL
573,2025-03-31,1500,CALL
574,2025-03-31,1345,CALL
575,2025-03-31,8918,CALL
576,2025-03-31,1925,CALL
577,2025-03-31,2254,CALL
578,2025-03-31,1609,CALL
579,2025-03-31,1868,CALL
580,2025-03-31,5847,CALL
581,2025-03-31,2522,CALL
582,2025-03-31,1906,CALL
583,2025-03-31,2144,CALL
584,2025-03-31,1318,CALL
585,2025-03-31,12143,CALL
586,2025-03-31,2235,CALL
587,2025-03-31,3258,CALL
588,2025-03-31,2131,CALL
589,2025-03-31,1772,CALL
590,2025-03-31,14845,CALL
591,2025-03-31,2289,CALL
592,2025-03-31,2215,CALL
520,2025-04-01,0,CALL
530,2025-04-01,0,CALL
540,2025-04-01,0,CALL
550,2025-04-01,0,CALL
555,2025-04-01,0,CALL
556,2025-04-01,0,CALL
557,2025-04-01,0,CALL
558,2025-04-01,0,CALL
559,2025-04-01,0,CALL
560,2025-04-01,0,CALL
561,2025-04-01,0,CALL
562,2025-04-01,0,CALL
563,2025-04-01,0,CALL
564,2025-04-01,0,CALL
565,2025-04-01,0,CALL
566,2025-04-01,0,CALL
567,2025-04-01,0,CALL
568,2025-04-01,0,CALL
569,2025-04-01,0,CALL
570,2025-04-01,0,CALL
571,2025-04-01,0,CALL
572,2025-04-01,0,CALL
573,2025-04-01,0,CALL
574,2025-04-01,0,CALL
575,2025-04-01,0,CALL
580,2025-04-01,0,CALL
590,2025-04-01,0,CALL
600,2025-04-01,0,CALL
610,2025-04-01,0,CALL
620,2025-04-01,0,CALL
546,2025-04-04,1,CALL
547,2025-04-04,11,CALL
547.5,2025-04-04,106,CALL
548,2025-04-04,162,CALL
549,2025-04-04,144,CALL
550,2025-04-04,736,CALL
551,2025-04-04,73,CALL
552,2025-04-04,156,CALL
552.5,2025-04-04,169,CALL
553,2025-04-04,117,CALL
554,2025-04-04,107,CALL
555,2025-04-04,666,CALL
556,2025-04-04,275,CALL
557,2025-04-04,160,CALL
557.5,2025-04-04,162,CALL
558,2025-04-04,1338,CALL
559,2025-04-04,314,CALL
560,2025-04-04,3511,CALL
561,2025-04-04,653,CALL
562,2025-04-04,448,CALL
563,2025-04-04,1221,CALL
564,2025-04-04,618,CALL
565,2025-04-04,1623,CALL
566,2025-04-04,928,CALL
567,2025-04-04,859,CALL
568,2025-04-04,736,CALL
569,2025-04-04,479,CALL
570,2025-04-04,4341,CALL
571,2025-04-04,803,CALL
572,2025-04-04,542,CALL
573,2025-04-04,513,CALL
574,2025-04-04,592,CALL
575,2025-04-04,1716,CALL
576,2025-04-04,1304,CALL
577,2025-04-04,565,CALL
578,2025-04-04,986,CALL
579,2025-04-04,1337,CALL
580,2025-04-04,4202,CALL
581,2025-04-04,1649,CALL
582,2025-04-04,1471,CALL
583,2025-04-04,1845,CALL
584,2025-04-04,721,CALL
585,2025-04-04,6163,CALL
586,2025-04-04,544,CALL
587,2025-04-04,783,CALL
588,2025-04-04,715,CALL
589,2025-04-04,452,CALL
590,2025-04-04,3087,CALL
591,2025-04-04,808,CALL
592,2025-04-04,1389,CALL
544,2025-04-11,65,CALL
545,2025-04-11,171,CALL
546,2025-04-11,47,CALL
547,2025-04-11,78,CALL
548,2025-04-11,103,CALL
549,2025-04-11,136,CALL
550,2025-04-11,255,CALL
551,2025-04-11,118,CALL
552,2025-04-11,137,CALL
553,2025-04-11,114,CALL
554,2025-04-11,93,CALL
555,2025-04-11,598,CALL
556,2025-04-11,284,CALL
557,2025-04-11,217,CALL
558,2025-04-11,205,CALL
559,2025-04-11,259,CALL
560,2025-04-11,1587,CALL
561,2025-04-11,67,CALL
562,2025-04-11,269,CALL
562.5,2025-04-11,225,CALL
563,2025-04-11,171,CALL
564,2025-04-11,315,CALL
565,2025-04-11,2134,CALL
566,2025-04-11,265,CALL
567,2025-04-11,381,CALL
568,2025-04-11,525,CALL
569,2025-04-11,362,CALL
570,2025-04-11,1868,CALL
571,2025-04-11,168,CALL
572,2025-04-11,378,CALL
573,2025-04-11,491,CALL
574,2025-04-11,694,CALL
575,2025-04-11,1899,CALL
576,2025-04-11,713,CALL
577,2025-04-11,569,CALL
578,2025-04-11,612,CALL
579,2025-04-11,325,CALL
580,2025-04-11,1615,CALL
581,2025-04-11,303,CALL
582,2025-04-11,721,CALL
582.5,2025-04-11,200,CALL
583,2025-04-11,443,CALL
584,2025-04-11,629,CALL
585,2025-04-11,4278,CALL
586,2025-04-11,1087,CALL
587,2025-04-11,541,CALL
587.5,2025-04-11,195,CALL
588,2025-04-11,265,CALL
589,2025-04-11,402,CALL
590,2025-04-11,3298,CALL
543,2025-04-17,361,CALL
544,2025-04-17,298,CALL
545,2025-04-17,2927,CALL
546,2025-04-17,372,CALL
547,2025-04-17,137,CALL
548,2025-04-17,415,CALL
549,2025-04-17,624,CALL
550,2025-04-17,9169,CALL
551,2025-04-17,860,CALL
552,2025-04-17,722,CALL
553,2025-04-17,724,CALL
554,2025-04-17,942,CALL
555,2025-04-17,10813,CALL
556,2025-04-17,656,CALL
557,2025-04-17,933,CALL
558,2025-04-17,1216,CALL
559,2025-04-17,1866,CALL
560,2025-04-17,10004,CALL
561,2025-04-17,1593,CALL
562,2025-04-17,1674,CALL
563,2025-04-17,1871,CALL
564,2025-04-17,1651,CALL
565,2025-04-17,6421,CALL
566,2025-04-17,1392,CALL
567,2025-04-17,2202,CALL
568,2025-04-17,2105,CALL
569,2025-04-17,2295,CALL
570,2025-04-17,13387,CALL
571,2025-04-17,1654,CALL
572,2025-04-17,2752,CALL
573,2025-04-17,1928,CALL
574,2025-04-17,2668,CALL
575,2025-04-17,15937,CALL
576,2025-04-17,3601,CALL
577,2025-04-17,3641,CALL
578,2025-04-17,2469,CALL
579,2025-04-17,2906,CALL
580,2025-04-17,20849,CALL
581,2025-04-17,2077,CALL
582,2025-04-17,2454,CALL
583,2025-04-17,2581,CALL
584,2025-04-17,1964,CALL
585,2025-04-17,14558,CALL
586,2025-04-17,2861,CALL
587,2025-04-17,2833,CALL
588,2025-04-17,4250,CALL
589,2025-04-17,6734,CALL
590,2025-04-17,38764,CALL
591,2025-04-17,3491,CALL
592,2025-04-17,5196,CALL
544,2025-04-25,76,CALL
545,2025-04-25,30,CALL
546,2025-04-25,59,CALL
547,2025-04-25,120,CALL
548,2025-04-25,152,CALL
549,2025-04-25,143,CALL
550,2025-04-25,164,CALL
551,2025-04-25,45,CALL
552,2025-04-25,105,CALL
553,2025-04-25,94,CALL
554,2025-04-25,75,CALL
555,2025-04-25,172,CALL
556,2025-04-25,88,CALL
557,2025-04-25,121,CALL
558,2025-04-25,182,CALL
559,2025-04-25,56,CALL
560,2025-04-25,321,CALL
561,2025-04-25,37,CALL
562,2025-04-25,29,CALL
562.5,2025-04-25,171,CALL
563,2025-04-25,108,CALL
564,2025-04-25,141,CALL
565,2025-04-25,463,CALL
566,2025-04-25,113,CALL
567,2025-04-25,203,CALL
568,2025-04-25,165,CALL
569,2025-04-25,177,CALL
570,2025-04-25,490,CALL
571,2025-04-25,187,CALL
572,2025-04-25,184,CALL
573,2025-04-25,225,CALL
574,2025-04-25,152,CALL
575,2025-04-25,702,CALL
576,2025-04-25,475,CALL
577,2025-04-25,392,CALL
578,2025-04-25,365,CALL
579,2025-04-25,298,CALL
580,2025-04-25,556,CALL
581,2025-04-25,129,CALL
582,2025-04-25,213,CALL
583,2025-04-25,240,CALL
584,2025-04-25,43,CALL
585,2025-04-25,408,CALL
586,2025-04-25,229,CALL
587,2025-04-25,205,CALL
588,2025-04-25,134,CALL
589,2025-04-25,213,CALL
590,2025-04-25,1181,CALL
591,2025-04-25,139,CALL
592,2025-04-25,179,CALL
543,2025-04-30,104,CALL
544,2025-04-30,101,CALL
545,2025-04-30,270,CALL
546,2025-04-30,60,CALL
547,2025-04-30,123,CALL
548,2025-04-30,202,CALL
549,2025-04-30,221,CALL
550,2025-04-30,382,CALL
551,2025-04-30,223,CALL
552,2025-04-30,464,CALL
553,2025-04-30,228,CALL
554,2025-04-30,306,CALL
555,2025-04-30,340,CALL
556,2025-04-30,171,CALL
557,2025-04-30,263,CALL
558,2025-04-30,220,CALL
559,2025-04-30,326,CALL
560,2025-04-30,1607,CALL
561,2025-04-30,272,CALL
562,2025-04-30,381,CALL
563,2025-04-30,491,CALL
564,2025-04-30,410,CALL
565,2025-04-30,1678,CALL
566,2025-04-30,334,CALL
567,2025-04-30,296,CALL
568,2025-04-30,365,CALL
569,2025-04-30,489,CALL
570,2025-04-30,4106,CALL
571,2025-04-30,368,CALL
572,2025-04-30,434,CALL
573,2025-04-30,264,CALL
574,2025-04-30,327,CALL
575,2025-04-30,919,CALL
576,2025-04-30,461,CALL
577,2025-04-30,740,CALL
578,2025-04-30,1170,CALL
579,2025-04-30,380,CALL
580,2025-04-30,1785,CALL
581,2025-04-30,766,CALL
582,2025-04-30,438,CALL
583,2025-04-30,1032,CALL
584,2025-04-30,531,CALL
585,2025-04-30,2210,CALL
586,2025-04-30,1534,CALL
587,2025-04-30,535,CALL
588,2025-04-30,905,CALL
589,2025-04-30,686,CALL
590,2025-04-30,5023,CALL
591,2025-04-30,1686,CALL
592,2025-04-30,969,CALL
547,2025-05-02,0,CALL
547.5,2025-05-02,0,CALL
548,2025-05-02,1,CALL
549,2025-05-02,22,CALL
550,2025-05-02,171,CALL
551,2025-05-02,15,CALL
552,2025-05-02,124,CALL
552.5,2025-05-02,16,CALL
553,2025-05-02,52,CALL
554,2025-05-02,16,CALL
555,2025-05-02,18,CALL
556,2025-05-02,23,CALL
557,2025-05-02,17,CALL
557.5,2025-05-02,45,CALL
558,2025-05-02,37,CALL
559,2025-05-02,127,CALL
560,2025-05-02,71,CALL
561,2025-05-02,67,CALL
562,2025-05-02,13,CALL
562.5,2025-05-02,65,CALL
563,2025-05-02,132,CALL
564,2025-05-02,183,CALL
565,2025-05-02,128,CALL
566,2025-05-02,96,CALL
567,2025-05-02,10,CALL
567.5,2025-05-02,37,CALL
568,2025-05-02,49,CALL
569,2025-05-02,47,CALL
570,2025-05-02,90,CALL
571,2025-05-02,7,CALL
572,2025-05-02,28,CALL
572.5,2025-05-02,12,CALL
573,2025-05-02,9,CALL
574,2025-05-02,45,CALL
575,2025-05-02,62,CALL
576,2025-05-02,3,CALL
577,2025-05-02,0,CALL
578,2025-05-02,25,CALL
579,2025-05-02,35,CALL
580,2025-05-02,89,CALL
585,2025-05-02,48,CALL
590,2025-05-02,66,CALL
595,2025-05-02,113,CALL
600,2025-05-02,233,CALL
605,2025-05-02,109,CALL
610,2025-05-02,74,CALL
615,2025-05-02,117,CALL
620,2025-05-02,149,CALL
625,2025-05-02,12,CALL
630,2025-05-02,26,CALL
543,2025-05-16,9,CALL
544,2025-05-16,26,CALL
545,2025-05-16,319,CALL
546,2025-05-16,106,CALL
547,2025-05-16,299,CALL
548,2025-05-16,275,CALL
549,2025-05-16,180,CALL
550,2025-05-16,1980,CALL
551,2025-05-16,132,CALL
552,2025-05-16,144,CALL
553,2025-05-16,159,CALL
554,2025-05-16,97,CALL
555,2025-05-16,713,CALL
556,2025-05-16,151,CALL
